CostID,SchoolYear,SchoolState,SchoolType,EducationLevel,AnnualTotalDegreeCost,EstimatedTotalDegreeCost
935,2023,Florida,Public In-State,Bachelor's Degree,20949,83796
936,2023,Florida,Public In-State,Doctoral Degree,32873,164365
937,2023,Florida,Public In-State,Master's Degree,24641,49282
938,2023,Georgia,Private,Associate Degree,27503,55006
939,2023,Georgia,Private,Bachelor's Degree,52209,208836
940,2023,Georgia,Private,Doctoral Degree,59296,296480
941,2023,Georgia,Private,Master's Degree,42101,84202
942,2023,Georgia,Public In-State,Associate Degree,12415,24830
943,2023,Georgia,Public In-State,Bachelor's Degree,21805,87220
944,2023,Georgia,Public In-State,Doctoral Degree,34075,170375
945,2023,Georgia,Public In-State,Master's Degree,23731,47462
946,2023,Hawaii,Private,Associate Degree,26915,53830
947,2023,Hawaii,Private,Bachelor's Degree,51368,205472
948,2023,Hawaii,Private,Doctoral Degree,55164,275820
949,2023,Hawaii,Private,Master's Degree,43630,87260
950,2023,Hawaii,Public In-State,Associate Degree,13453,26906
951,2023,Hawaii,Public In-State,Bachelor's Degree,20557,82228
952,2023,Hawaii,Public In-State,Doctoral Degree,32126,160630
953,2023,Hawaii,Public In-State,Master's Degree,25597,51194
954,2023,Idaho,Private,Associate Degree,28100,56200
955,2023,Idaho,Private,Bachelor's Degree,51449,205796
956,2023,Idaho,Private,Doctoral Degree,55704,278520
957,2023,Idaho,Private,Master's Degree,43190,86380
958,2023,Idaho,Public In-State,Associate Degree,13368,26736
959,2023,Idaho,Public In-State,Bachelor's Degree,22075,88300
960,2023,Idaho,Public In-State,Doctoral Degree,37324,186620
961,2023,Idaho,Public In-State,Master's Degree,25218,50436
962,2023,Illinois,Private,Associate Degree,27789,55578
963,2023,Illinois,Private,Bachelor's Degree,53700,214800
964,2023,Illinois,Private,Doctoral Degree,56061,280305
965,2023,Illinois,Private,Master's Degree,44804,89608
966,2023,Illinois,Public In-State,Associate Degree,13437,26874
967,2023,Illinois,Public In-State,Bachelor's Degree,21143,84572
968,2023,Illinois,Public In-State,Doctoral Degree,35102,175510
969,2023,Illinois,Public In-State,Master's Degree,25029,50058
970,2023,Indiana,Private,Associate Degree,27584,55168
971,2023,Indiana,Private,Bachelor's Degree,53330,213320
972,2023,Indiana,Private,Doctoral Degree,58263,291315
973,2023,Indiana,Private,Master's Degree,43947,87894
974,2023,Indiana,Public In-State,Associate Degree,13110,26220
975,2023,Indiana,Public In-State,Bachelor's Degree,21949,87796
976,2023,Indiana,Public In-State,Doctoral Degree,32800,164000
977,2023,Indiana,Public In-State,Master's Degree,24307,48614
978,2023,Iowa,Private,Associate Degree,28600,57200
979,2023,Iowa,Private,Bachelor's Degree,53373,213492
980,2023,Iowa,Private,Doctoral Degree,56982,284910
981,2023,Iowa,Private,Master's Degree,44046,88092
982,2023,Iowa,Public In-State,Associate Degree,12943,25886
983,2023,Iowa,Public In-State,Bachelor's Degree,21348,85392
984,2023,Iowa,Public In-State,Doctoral Degree,32487,162435
985,2023,Iowa,Public In-State,Master's Degree,25240,50480
986,2023,Kansas,Private,Associate Degree,28106,56212
987,2023,Kansas,Private,Bachelor's Degree,54828,219312
988,2023,Kansas,Private,Doctoral Degree,51718,258590
989,2023,Kansas,Private,Master's Degree,46285,92570
990,2023,Kansas,Public In-State,Associate Degree,13317,26634
991,2023,Kansas,Public In-State,Bachelor's Degree,20786,83144
992,2023,Kansas,Public In-State,Doctoral Degree,34901,174505
993,2023,Kansas,Public In-State,Master's Degree,26521,53042
994,2023,Kentucky,Private,Associate Degree,29551,59102
995,2023,Kentucky,Private,Bachelor's Degree,51988,207952
996,2023,Kentucky,Private,Doctoral Degree,55742,278710
997,2023,Kentucky,Private,Master's Degree,43391,86782
998,2023,Kentucky,Public In-State,Associate Degree,13149,26298
999,2023,Kentucky,Public In-State,Bachelor's Degree,21246,84984
1000,2023,Kentucky,Public In-State,Doctoral Degree,32760,163800
1001,2023,Kentucky,Public In-State,Master's Degree,23201,46402
1002,2023,Louisiana,Private,Associate Degree,28087,56174
1003,2023,Louisiana,Private,Bachelor's Degree,50100,200400
1004,2023,Louisiana,Private,Doctoral Degree,55570,277850
1005,2023,Louisiana,Private,Master's Degree,46917,93834
1006,2023,Louisiana,Public In-State,Associate Degree,13402,26804
1007,2023,Louisiana,Public In-State,Bachelor's Degree,21258,85032
1008,2023,Louisiana,Public In-State,Doctoral Degree,35568,177840
1009,2023,Louisiana,Public In-State,Master's Degree,26829,53658
1010,2023,Maine,Private,Associate Degree,29182,58364
1011,2023,Maine,Private,Bachelor's Degree,54444,217776
1012,2023,Maine,Private,Doctoral Degree,56847,284235
1013,2023,Maine,Private,Master's Degree,45696,91392
1014,2023,Maine,Public In-State,Associate Degree,14138,28276
1015,2023,Maine,Public In-State,Bachelor's Degree,21674,86696
1016,2023,Maine,Public In-State,Doctoral Degree,32229,161145
1017,2023,Maine,Public In-State,Master's Degree,25406,50812
1018,2023,Maryland,Private,Associate Degree,26906,53812
1019,2023,Maryland,Private,Bachelor's Degree,53918,215672
1020,2023,Maryland,Private,Doctoral Degree,57312,286560
1021,2023,Maryland,Private,Master's Degree,47916,95832
1022,2023,Maryland,Public In-State,Associate Degree,14075,28150
1023,2023,Maryland,Public In-State,Bachelor's Degree,21570,86280
1024,2023,Maryland,Public In-State,Doctoral Degree,34220,171100
1025,2023,Maryland,Public In-State,Master's Degree,27098,54196
1026,2023,Massachusetts,Private,Associate Degree,28387,56774
1027,2023,Massachusetts,Private,Bachelor's Degree,50122,200488
1028,2023,Massachusetts,Private,Doctoral Degree,55766,278830
1029,2023,Massachusetts,Private,Master's Degree,48187,96374
1030,2023,Massachusetts,Public In-State,Associate Degree,12991,25982
1031,2023,Massachusetts,Public In-State,Bachelor's Degree,21690,86760
1032,2023,Massachusetts,Public In-State,Doctoral Degree,32216,161080
1033,2023,Massachusetts,Public In-State,Master's Degree,23593,47186
1034,2023,Michigan,Private,Associate Degree,27185,54370
1035,2023,Michigan,Private,Bachelor's Degree,53893,215572
1036,2023,Michigan,Private,Doctoral Degree,53270,266350
1037,2023,Michigan,Private,Master's Degree,43630,87260
1038,2023,Michigan,Public In-State,Associate Degree,13833,27666
1039,2023,Michigan,Public In-State,Bachelor's Degree,22241,88964
1040,2023,Michigan,Public In-State,Doctoral Degree,35650,178250
1041,2023,Michigan,Public In-State,Master's Degree,24286,48572
1042,2023,Minnesota,Private,Associate Degree,27115,54230
1043,2023,Minnesota,Private,Bachelor's Degree,51937,207748
1044,2023,Minnesota,Private,Doctoral Degree,52964,264820
1045,2023,Minnesota,Private,Master's Degree,46022,92044
1046,2023,Minnesota,Public In-State,Associate Degree,14248,28496
1047,2023,Minnesota,Public In-State,Bachelor's Degree,21959,87836
1048,2023,Minnesota,Public In-State,Doctoral Degree,30801,154005
1049,2023,Minnesota,Public In-State,Master's Degree,25845,51690
1050,2023,Mississippi,Private,Associate Degree,28269,56538
1051,2023,Mississippi,Private,Bachelor's Degree,55554,222216
1052,2023,Mississippi,Private,Doctoral Degree,52665,263325
1053,2023,Mississippi,Private,Master's Degree,46005,92010
1054,2023,Mississippi,Public In-State,Associate Degree,12506,25012
1055,2023,Mississippi,Public In-State,Bachelor's Degree,20623,82492
1056,2023,Mississippi,Public In-State,Doctoral Degree,34806,174030
1057,2023,Mississippi,Public In-State,Master's Degree,24370,48740
1058,2023,Missouri,Private,Associate Degree,27193,54386
1059,2023,Missouri,Private,Bachelor's Degree,53065,212260
1060,2023,Missouri,Private,Doctoral Degree,56332,281660
1061,2023,Missouri,Private,Master's Degree,44014,88028
1062,2023,Missouri,Public In-State,Associate Degree,12998,25996
1063,2023,Missouri,Public In-State,Bachelor's Degree,21674,86696
1064,2023,Missouri,Public In-State,Doctoral Degree,33454,167270
1065,2023,Missouri,Public In-State,Master's Degree,25639,51278
1066,2023,Montana,Private,Associate Degree,28038,56076
1067,2023,Montana,Private,Bachelor's Degree,56027,224108
1068,2023,Montana,Private,Doctoral Degree,54007,270035
1069,2023,Montana,Private,Master's Degree,46953,93906
1070,2023,Montana,Public In-State,Associate Degree,12969,25938
1071,2023,Montana,Public In-State,Bachelor's Degree,22242,88968
1072,2023,Montana,Public In-State,Doctoral Degree,33559,167795
1073,2023,Montana,Public In-State,Master's Degree,27079,54158
1074,2023,Nebraska,Private,Associate Degree,28195,56390
1075,2023,Nebraska,Private,Bachelor's Degree,53680,214720
1076,2023,Nebraska,Private,Doctoral Degree,53202,266010
1077,2023,Nebraska,Private,Master's Degree,47210,94420
1078,2023,Nebraska,Public In-State,Associate Degree,12958,25916
1079,2023,Nebraska,Public In-State,Bachelor's Degree,21812,87248
1080,2023,Nebraska,Public In-State,Doctoral Degree,32542,162710
1081,2023,Nebraska,Public In-State,Master's Degree,26182,52364
1082,2023,Nevada,Private,Associate Degree,27977,55954
1083,2023,Nevada,Private,Bachelor's Degree,55073,220292
1084,2023,Nevada,Private,Doctoral Degree,55893,279465
1085,2023,Nevada,Private,Master's Degree,46722,93444
1086,2023,Nevada,Public In-State,Associate Degree,13316,26632
1087,2023,Nevada,Public In-State,Bachelor's Degree,21849,87396
1088,2023,Nevada,Public In-State,Doctoral Degree,35536,177680
1089,2023,Nevada,Public In-State,Master's Degree,25043,50086
1090,2023,New Hampshire,Private,Associate Degree,26228,52456
1091,2023,New Hampshire,Private,Bachelor's Degree,54775,219100
1092,2023,New Hampshire,Private,Doctoral Degree,56712,283560
1093,2023,New Hampshire,Private,Master's Degree,47198,94396
1094,2023,New Hampshire,Public In-State,Associate Degree,13681,27362
1095,2023,New Hampshire,Public In-State,Bachelor's Degree,20678,82712
1096,2023,New Hampshire,Public In-State,Doctoral Degree,32693,163465
1097,2023,New Hampshire,Public In-State,Master's Degree,25950,51900
1098,2023,New Jersey,Private,Associate Degree,27161,54322
1099,2023,New Jersey,Private,Bachelor's Degree,51417,205668
1100,2023,New Jersey,Private,Doctoral Degree,54169,270845
1101,2023,New Jersey,Private,Master's Degree,43601,87202
1102,2023,New Jersey,Public In-State,Associate Degree,13516,27032
1103,2023,New Jersey,Public In-State,Bachelor's Degree,22684,90736
1104,2023,New Jersey,Public In-State,Doctoral Degree,33527,167635
1105,2023,New Jersey,Public In-State,Master's Degree,24042,48084
1106,2023,New Mexico,Private,Associate Degree,27299,54598
1107,2023,New Mexico,Private,Bachelor's Degree,53452,213808
1108,2023,New Mexico,Private,Doctoral Degree,55532,277660
1109,2023,New Mexico,Private,Master's Degree,46396,92792
1110,2023,New Mexico,Public In-State,Associate Degree,13300,26600
1111,2023,New Mexico,Public In-State,Bachelor's Degree,21597,86388
1112,2023,New Mexico,Public In-State,Doctoral Degree,31720,158600
1113,2023,New Mexico,Public In-State,Master's Degree,25931,51862
1114,2023,New York,Private,Associate Degree,28028,56056
1115,2023,New York,Private,Bachelor's Degree,53282,213128
1116,2023,New York,Private,Doctoral Degree,55603,278015
1117,2023,New York,Private,Master's Degree,44651,89302
1118,2023,New York,Public In-State,Associate Degree,13183,26366
1119,2023,New York,Public In-State,Bachelor's Degree,22250,89000
1120,2023,New York,Public In-State,Doctoral Degree,34770,173850
1121,2023,New York,Public In-State,Master's Degree,26892,53784
1122,2023,North Carolina,Private,Associate Degree,27589,55178
1123,2023,North Carolina,Private,Bachelor's Degree,53178,212712
1124,2023,North Carolina,Private,Doctoral Degree,58199,290995
1125,2023,North Carolina,Private,Master's Degree,48192,96384
1126,2023,North Carolina,Public In-State,Associate Degree,13425,26850
1127,2023,North Carolina,Public In-State,Bachelor's Degree,21617,86468
1128,2023,North Carolina,Public In-State,Doctoral Degree,33609,168045
1129,2023,North Carolina,Public In-State,Master's Degree,26405,52810
1130,2023,North Dakota,Private,Associate Degree,29904,59808
1131,2023,North Dakota,Private,Bachelor's Degree,55558,222232
1132,2023,North Dakota,Private,Doctoral Degree,56416,282080
1133,2023,North Dakota,Private,Master's Degree,44491,88982
1134,2023,North Dakota,Public In-State,Associate Degree,13010,26020
1135,2023,North Dakota,Public In-State,Bachelor's Degree,21127,84508
1136,2023,North Dakota,Public In-State,Doctoral Degree,33001,165005
1137,2023,North Dakota,Public In-State,Master's Degree,24513,49026
1138,2023,Ohio,Private,Associate Degree,27248,54496
1139,2023,Ohio,Private,Bachelor's Degree,56876,227504
1140,2023,Ohio,Private,Doctoral Degree,57258,286290
1141,2023,Ohio,Private,Master's Degree,45148,90296
1142,2023,Ohio,Public In-State,Associate Degree,13637,27274
1143,2023,Ohio,Public In-State,Bachelor's Degree,22776,91104
1144,2023,Ohio,Public In-State,Doctoral Degree,32924,164620
1145,2023,Ohio,Public In-State,Master's Degree,23589,47178
1146,2023,Oklahoma,Private,Associate Degree,29240,58480
1147,2023,Oklahoma,Private,Bachelor's Degree,52246,208984
1148,2023,Oklahoma,Private,Doctoral Degree,56180,280900
1149,2023,Oklahoma,Private,Master's Degree,46458,92916
1150,2023,Oklahoma,Public In-State,Associate Degree,12832,25664
1151,2023,Oklahoma,Public In-State,Bachelor's Degree,21681,86724
1152,2023,Oklahoma,Public In-State,Doctoral Degree,32701,163505
1153,2023,Oklahoma,Public In-State,Master's Degree,25970,51940
1154,2023,Oregon,Private,Associate Degree,26817,53634
1155,2023,Oregon,Private,Bachelor's Degree,51822,207288
1156,2023,Oregon,Private,Doctoral Degree,52110,260550
1157,2023,Oregon,Private,Master's Degree,46834,93668
1158,2023,Oregon,Public In-State,Associate Degree,12913,25826
1159,2023,Oregon,Public In-State,Bachelor's Degree,22394,89576
1160,2023,Oregon,Public In-State,Doctoral Degree,34104,170520
1161,2023,Oregon,Public In-State,Master's Degree,25180,50360
1162,2023,Pennsylvania,Private,Associate Degree,28185,56370
1163,2023,Pennsylvania,Private,Bachelor's Degree,52232,208928
1164,2023,Pennsylvania,Private,Doctoral Degree,53053,265265
1165,2023,Pennsylvania,Private,Master's Degree,43686,87372
1166,2023,Pennsylvania,Public In-State,Associate Degree,13729,27458
1167,2023,Pennsylvania,Public In-State,Bachelor's Degree,22079,88316
1168,2023,Pennsylvania,Public In-State,Doctoral Degree,35818,179090
1169,2023,Pennsylvania,Public In-State,Master's Degree,26285,52570
1170,2023,Rhode Island,Private,Associate Degree,27637,55274
1171,2023,Rhode Island,Private,Bachelor's Degree,51162,204648
1172,2023,Rhode Island,Private,Doctoral Degree,50130,250650
1173,2023,Rhode Island,Private,Master's Degree,47462,94924
1174,2023,Rhode Island,Public In-State,Associate Degree,12496,24992
1175,2023,Rhode Island,Public In-State,Bachelor's Degree,22528,90112
1176,2023,Rhode Island,Public In-State,Doctoral Degree,30968,154840
1177,2023,Rhode Island,Public In-State,Master's Degree,26437,52874
1178,2023,South Carolina,Private,Associate Degree,28160,56320
1179,2023,South Carolina,Private,Bachelor's Degree,52398,209592
1180,2023,South Carolina,Private,Doctoral Degree,50432,252160
1181,2023,South Carolina,Private,Master's Degree,43949,87898
1182,2023,South Carolina,Public In-State,Associate Degree,12998,25996
1183,2023,South Carolina,Public In-State,Bachelor's Degree,21074,84296
1184,2023,South Carolina,Public In-State,Doctoral Degree,31391,156955
1185,2023,South Carolina,Public In-State,Master's Degree,26291,52582
1186,2023,South Dakota,Private,Associate Degree,27701,55402
1187,2023,South Dakota,Private,Bachelor's Degree,51365,205460
1188,2023,South Dakota,Private,Doctoral Degree,53295,266475
1189,2023,South Dakota,Private,Master's Degree,46930,93860
1190,2023,South Dakota,Public In-State,Associate Degree,13161,26322
1191,2023,South Dakota,Public In-State,Bachelor's Degree,21689,86756
1192,2023,South Dakota,Public In-State,Doctoral Degree,37173,185865
1193,2023,South Dakota,Public In-State,Master's Degree,25175,50350
1194,2023,Tennessee,Private,Associate Degree,27524,55048
1195,2023,Tennessee,Private,Bachelor's Degree,56869,227476
1196,2023,Tennessee,Private,Doctoral Degree,53306,266530
1197,2023,Tennessee,Private,Master's Degree,46068,92136
1198,2023,Tennessee,Public In-State,Associate Degree,14195,28390
1199,2023,Tennessee,Public In-State,Bachelor's Degree,21399,85596
1200,2023,Tennessee,Public In-State,Doctoral Degree,33591,167955
1201,2023,Tennessee,Public In-State,Master's Degree,25367,50734
1202,2023,Texas,Private,Associate Degree,28503,57006
1203,2023,Texas,Private,Bachelor's Degree,52082,208328
1204,2023,Texas,Private,Doctoral Degree,55390,276950
1205,2023,Texas,Private,Master's Degree,45583,91166
1206,2023,Texas,Public In-State,Associate Degree,13345,26690
1207,2023,Texas,Public In-State,Bachelor's Degree,21502,86008
1208,2023,Texas,Public In-State,Doctoral Degree,32607,163035
1209,2023,Texas,Public In-State,Master's Degree,25643,51286
1210,2023,Utah,Private,Associate Degree,28901,57802
1211,2023,Utah,Private,Bachelor's Degree,54342,217368
1212,2023,Utah,Private,Doctoral Degree,51581,257905
1213,2023,Utah,Private,Master's Degree,47313,94626
1214,2023,Utah,Public In-State,Associate Degree,12940,25880
1215,2023,Utah,Public In-State,Bachelor's Degree,22950,91800
1216,2023,Utah,Public In-State,Doctoral Degree,35170,175850
1217,2023,Utah,Public In-State,Master's Degree,25385,50770
1218,2023,Vermont,Private,Associate Degree,28175,56350
1219,2023,Vermont,Private,Bachelor's Degree,56144,224576
1220,2023,Vermont,Private,Doctoral Degree,57095,285475
1221,2023,Vermont,Private,Master's Degree,44615,89230
1222,2023,Vermont,Public In-State,Associate Degree,12721,25442
1223,2023,Vermont,Public In-State,Bachelor's Degree,22412,89648
1224,2023,Vermont,Public In-State,Doctoral Degree,35562,177810
1225,2023,Vermont,Public In-State,Master's Degree,26891,53782
1226,2023,Virginia,Private,Associate Degree,28109,56218
1227,2023,Virginia,Private,Bachelor's Degree,55817,223268
1228,2023,Virginia,Private,Doctoral Degree,54738,273690
1229,2023,Virginia,Private,Master's Degree,44355,88710
1230,2023,Virginia,Public In-State,Associate Degree,14297,28594
1231,2023,Virginia,Public In-State,Bachelor's Degree,20449,81796
1232,2023,Virginia,Public In-State,Doctoral Degree,32562,162810
1233,2023,Virginia,Public In-State,Master's Degree,26184,52368
1234,2023,Washington,Private,Associate Degree,28135,56270
1235,2023,Washington,Private,Bachelor's Degree,54684,218736
1236,2023,Washington,Private,Doctoral Degree,54184,270920
1237,2023,Washington,Private,Master's Degree,43767,87534
1238,2023,Washington,Public In-State,Associate Degree,13110,26220
1239,2023,Washington,Public In-State,Bachelor's Degree,21954,87816
1240,2023,Washington,Public In-State,Doctoral Degree,34708,173540
1241,2023,Washington,Public In-State,Master's Degree,24236,48472
1242,2023,West Virginia,Private,Associate Degree,26576,53152
1243,2023,West Virginia,Private,Bachelor's Degree,55116,220464
1244,2023,West Virginia,Private,Doctoral Degree,55527,277635
1245,2023,West Virginia,Private,Master's Degree,46204,92408
1246,2023,West Virginia,Public In-State,Associate Degree,12904,25808
1247,2023,West Virginia,Public In-State,Bachelor's Degree,21737,86948
1248,2023,West Virginia,Public In-State,Doctoral Degree,33906,169530
1249,2023,West Virginia,Public In-State,Master's Degree,25817,51634
1250,2023,Wisconsin,Private,Associate Degree,26604,53208
1251,2023,Wisconsin,Private,Bachelor's Degree,53364,213456
1252,2023,Wisconsin,Private,Doctoral Degree,51252,256260
1253,2023,Wisconsin,Private,Master's Degree,45383,90766
1254,2023,Wisconsin,Public In-State,Associate Degree,13669,27338
1255,2023,Wisconsin,Public In-State,Bachelor's Degree,22660,90640
1256,2023,Wisconsin,Public In-State,Doctoral Degree,34844,174220
1257,2023,Wisconsin,Public In-State,Master's Degree,24323,48646
1258,2023,Wyoming,Private,Associate Degree,29092,58184
1259,2023,Wyoming,Private,Bachelor's Degree,55947,223788
1260,2023,Wyoming,Private,Doctoral Degree,53724,268620
1261,2023,Wyoming,Private,Master's Degree,41223,82446
1262,2023,Wyoming,Public In-State,Associate Degree,12479,24958
1263,2023,Wyoming,Public In-State,Bachelor's Degree,21388,85552
1264,2023,Wyoming,Public In-State,Doctoral Degree,33820,169100
1265,2023,Wyoming,Public In-State,Master's Degree,23875,47750
1266,2024,Alabama,Private,Associate Degree,28933,57866
1267,2024,Alabama,Private,Bachelor's Degree,52256,209024
1268,2024,Alabama,Private,Doctoral Degree,56147,280735
1269,2024,Alabama,Private,Master's Degree,42888,85776
1270,2024,Alabama,Public In-State,Associate Degree,12957,25914
1271,2024,Alabama,Public In-State,Bachelor's Degree,22096,88384
1272,2024,Alabama,Public In-State,Doctoral Degree,33346,166730
1273,2024,Alabama,Public In-State,Master's Degree,25735,51470
1274,2024,Alaska,Private,Associate Degree,27296,54592
1275,2024,Alaska,Private,Bachelor's Degree,50838,203352
1276,2024,Alaska,Private,Doctoral Degree,56759,283795
1277,2024,Alaska,Private,Master's Degree,46757,93514
1278,2024,Alaska,Public In-State,Associate Degree,14026,28052
1279,2024,Alaska,Public In-State,Bachelor's Degree,21402,85608
1280,2024,Alaska,Public In-State,Doctoral Degree,35382,176910
1281,2024,Alaska,Public In-State,Master's Degree,25928,51856
1282,2024,Arizona,Private,Associate Degree,27948,55896
1283,2024,Arizona,Private,Bachelor's Degree,52815,211260
1284,2024,Arizona,Private,Doctoral Degree,54176,270880
1285,2024,Arizona,Private,Master's Degree,47597,95194
1286,2024,Arizona,Public In-State,Associate Degree,12579,25158
1287,2024,Arizona,Public In-State,Bachelor's Degree,21476,85904
1288,2024,Arizona,Public In-State,Doctoral Degree,33521,167605
1289,2024,Arizona,Public In-State,Master's Degree,25827,51654
1290,2024,Arkansas,Private,Associate Degree,28020,56040
1291,2024,Arkansas,Private,Bachelor's Degree,52924,211696
1292,2024,Arkansas,Private,Doctoral Degree,52824,264120
1293,2024,Arkansas,Private,Master's Degree,44180,88360
1294,2024,Arkansas,Public In-State,Associate Degree,14242,28484
1295,2024,Arkansas,Public In-State,Bachelor's Degree,20738,82952
1296,2024,Arkansas,Public In-State,Doctoral Degree,33025,165125
1297,2024,Arkansas,Public In-State,Master's Degree,26278,52556
1298,2024,California,Private,Associate Degree,28822,57644
1299,2024,California,Private,Bachelor's Degree,51474,205896
1300,2024,California,Private,Doctoral Degree,58562,292810
1301,2024,California,Private,Master's Degree,44320,88640
1302,2024,California,Public In-State,Associate Degree,13492,26984
1303,2024,California,Public In-State,Bachelor's Degree,22136,88544
1304,2024,California,Public In-State,Doctoral Degree,33812,169060
1305,2024,California,Public In-State,Master's Degree,26071,52142
1306,2024,Colorado,Private,Associate Degree,29300,58600
1307,2024,Colorado,Private,Bachelor's Degree,54969,219876
1308,2024,Colorado,Private,Doctoral Degree,55432,277160
1309,2024,Colorado,Private,Master's Degree,42876,85752
1310,2024,Colorado,Public In-State,Associate Degree,13919,27838
1311,2024,Colorado,Public In-State,Bachelor's Degree,20129,80516
1312,2024,Colorado,Public In-State,Doctoral Degree,35770,178850
1313,2024,Colorado,Public In-State,Master's Degree,26060,52120
1314,2024,Connecticut,Private,Associate Degree,27033,54066
1315,2024,Connecticut,Private,Bachelor's Degree,50972,203888
1316,2024,Connecticut,Private,Doctoral Degree,50477,252385
1317,2024,Connecticut,Private,Master's Degree,43104,86208
1318,2024,Connecticut,Public In-State,Associate Degree,13015,26030
1319,2024,Connecticut,Public In-State,Bachelor's Degree,21691,86764
1320,2024,Connecticut,Public In-State,Doctoral Degree,33644,168220
1321,2024,Connecticut,Public In-State,Master's Degree,25571,51142
1322,2024,Delaware,Private,Associate Degree,29051,58102
1323,2024,Delaware,Private,Bachelor's Degree,51671,206684
1324,2024,Delaware,Private,Doctoral Degree,51579,257895
1325,2024,Delaware,Private,Master's Degree,41368,82736
1326,2024,Delaware,Public In-State,Associate Degree,14188,28376
1327,2024,Delaware,Public In-State,Bachelor's Degree,22802,91208
1328,2024,Delaware,Public In-State,Doctoral Degree,32738,163690
1329,2024,Delaware,Public In-State,Master's Degree,26011,52022
1330,2024,District of Columbia,Private,Associate Degree,28762,57524
1331,2024,District of Columbia,Private,Bachelor's Degree,55065,220260
1332,2024,District of Columbia,Private,Doctoral Degree,55421,277105
1333,2024,District of Columbia,Private,Master's Degree,46882,93764
1334,2024,District of Columbia,Public In-State,Associate Degree,13692,27384
1335,2024,District of Columbia,Public In-State,Bachelor's Degree,21077,84308
1336,2024,District of Columbia,Public In-State,Doctoral Degree,35005,175025
1337,2024,District of Columbia,Public In-State,Master's Degree,26730,53460
1338,2024,Florida,Private,Associate Degree,27362,54724
1339,2024,Florida,Private,Bachelor's Degree,51380,205520
1340,2024,Florida,Private,Doctoral Degree,51871,259355
1341,2024,Florida,Private,Master's Degree,49087,98174
1342,2024,Florida,Public In-State,Associate Degree,13617,27234
1343,2024,Florida,Public In-State,Bachelor's Degree,22121,88484
1344,2024,Florida,Public In-State,Doctoral Degree,33076,165380
1345,2024,Florida,Public In-State,Master's Degree,27089,54178
1346,2024,Georgia,Private,Associate Degree,28229,56458
1347,2024,Georgia,Private,Bachelor's Degree,54890,219560
1348,2024,Georgia,Private,Doctoral Degree,57274,286370
1349,2024,Georgia,Private,Master's Degree,48139,96278
1350,2024,Georgia,Public In-State,Associate Degree,13586,27172
1351,2024,Georgia,Public In-State,Bachelor's Degree,22219,88876
1352,2024,Georgia,Public In-State,Doctoral Degree,31652,158260
1353,2024,Georgia,Public In-State,Master's Degree,25917,51834
1354,2024,Hawaii,Private,Associate Degree,28743,57486
1355,2024,Hawaii,Private,Bachelor's Degree,53953,215812
1356,2024,Hawaii,Private,Doctoral Degree,54300,271500
1357,2024,Hawaii,Private,Master's Degree,45657,91314
1358,2024,Hawaii,Public In-State,Associate Degree,13250,26500
1359,2024,Hawaii,Public In-State,Bachelor's Degree,20933,83732
1360,2024,Hawaii,Public In-State,Doctoral Degree,35908,179540
1361,2024,Hawaii,Public In-State,Master's Degree,24877,49754
1362,2024,Idaho,Private,Associate Degree,26698,53396
1363,2024,Idaho,Private,Bachelor's Degree,54530,218120
1364,2024,Idaho,Private,Doctoral Degree,56693,283465
1365,2024,Idaho,Private,Master's Degree,45834,91668
1366,2024,Idaho,Public In-State,Associate Degree,13223,26446
1367,2024,Idaho,Public In-State,Bachelor's Degree,21717,86868
1368,2024,Idaho,Public In-State,Doctoral Degree,31678,158390
1369,2024,Idaho,Public In-State,Master's Degree,25035,50070
1370,2024,Illinois,Private,Associate Degree,27357,54714
1371,2024,Illinois,Private,Bachelor's Degree,50430,201720
1372,2024,Illinois,Private,Doctoral Degree,57495,287475
1373,2024,Illinois,Private,Master's Degree,47383,94766
1374,2024,Illinois,Public In-State,Associate Degree,13122,26244
1375,2024,Illinois,Public In-State,Bachelor's Degree,22222,88888
1376,2024,Illinois,Public In-State,Doctoral Degree,35868,179340
1377,2024,Illinois,Public In-State,Master's Degree,27355,54710
1378,2024,Indiana,Private,Associate Degree,27152,54304
1379,2024,Indiana,Private,Bachelor's Degree,49298,197192
1380,2024,Indiana,Private,Doctoral Degree,55165,275825
1381,2024,Indiana,Private,Master's Degree,43538,87076
1382,2024,Indiana,Public In-State,Associate Degree,12978,25956
1383,2024,Indiana,Public In-State,Bachelor's Degree,20952,83808
1384,2024,Indiana,Public In-State,Doctoral Degree,33225,166125
1385,2024,Indiana,Public In-State,Master's Degree,23906,47812
1386,2024,Iowa,Private,Associate Degree,27508,55016
1387,2024,Iowa,Private,Bachelor's Degree,54307,217228
1388,2024,Iowa,Private,Doctoral Degree,56454,282270
1389,2024,Iowa,Private,Master's Degree,46564,93128
1390,2024,Iowa,Public In-State,Associate Degree,14014,28028
1391,2024,Iowa,Public In-State,Bachelor's Degree,20429,81716
1392,2024,Iowa,Public In-State,Doctoral Degree,34661,173305
1393,2024,Iowa,Public In-State,Master's Degree,27329,54658
1394,2024,Kansas,Private,Associate Degree,28472,56944
1395,2024,Kansas,Private,Bachelor's Degree,52256,209024
1396,2024,Kansas,Private,Doctoral Degree,54111,270555
1397,2024,Kansas,Private,Master's Degree,41846,83692
1398,2024,Kansas,Public In-State,Associate Degree,12734,25468
