CareerField,CareerLevel,EducationLevel,MonthlyIncome
Government,Mid,High School,3769
Retail,Mid,Bachelor's Degree,6381
Energy,Entry,PhD,8987
Defense,Mid,Associate Degree,5602
Technology,Mid,Bachelor's Degree,8021
Retail,Mid,Bachelor's Degree,6967
Mining,Mid,Bachelor's Degree,5950
Real Estate,Mid,Bachelor's Degree,5790
Government,Mid,PhD,10445
Manufacturing,Mid,PhD,9330
Retail,Mid,Bachelor's Degree,5602
Legal,Mid,Master's Degree,7798
Mining,Senior,PhD,10724
Mining,Mid,High School,3538
Real Estate,Mid,High School,3648
Logistics,Entry,Master's Degree,8018
Fishing,Entry,High School,4191
Technology,Senior,Master's Degree,7877
Energy,Senior,Bachelor's Degree,6715
Forestry,Entry,High School,4391
Mining,Entry,Bachelor's Degree,7098
Education,Senior,High School,3982
Technology,Mid,PhD,8540
Logistics,Senior,Associate Degree,5048
Legal,Mid,Master's Degree,8355
Government,Senior,High School,4379
Agriculture,Mid,Master's Degree,8356
Logistics,Mid,Associate Degree,3964
Government,Senior,Bachelor's Degree,5685
Forestry,Entry,High School,4286
Real Estate,Entry,Bachelor's Degree,5448
Forestry,Entry,High School,3422
Fishing,Mid,Associate Degree,4277
Legal,Entry,Bachelor's Degree,7891
Real Estate,Mid,PhD,11772
Technology,Mid,Associate Degree,5547
Healthcare,Mid,Bachelor's Degree,7874
Legal,Entry,Bachelor's Degree,6146
Construction,Mid,PhD,11670
Education,Mid,Bachelor's Degree,6631
Retail,Mid,Bachelor's Degree,5517
Education,Mid,Associate Degree,4808
Education,Mid,High School,4112
Fishing,Entry,Master's Degree,6675
Logistics,Mid,Bachelor's Degree,7620
Real Estate,Entry,High School,3711
Technology,Senior,Bachelor's Degree,7506
Finance,Mid,Bachelor's Degree,5357
Construction,Entry,Master's Degree,8880
Legal,Mid,Master's Degree,9180
Legal,Entry,Bachelor's Degree,7297
Energy,Entry,Bachelor's Degree,5479
Defense,Entry,Master's Degree,9267
Government,Senior,Bachelor's Degree,6404
Legal,Mid,Bachelor's Degree,7029
Government,Entry,High School,4619
Transportation,Mid,High School,4710
Energy,Entry,Bachelor's Degree,6108
Forestry,Senior,Associate Degree,4888
Media,Entry,High School,3264
Technology,Mid,Bachelor's Degree,6097
Engineering,Entry,PhD,8020
Fishing,Mid,Master's Degree,9314
Construction,Entry,High School,4213
Fishing,Mid,Associate Degree,5540
Agriculture,Mid,High School,4248
Healthcare,Mid,PhD,8204
Manufacturing,Senior,High School,3710
Forestry,Senior,Bachelor's Degree,7181
Logistics,Mid,Bachelor's Degree,7041
Defense,Mid,High School,4709
Retail,Mid,Master's Degree,7690
Logistics,Entry,Master's Degree,6648
Retail,Mid,Bachelor's Degree,7783
Education,Mid,High School,4681
Logistics,Senior,Bachelor's Degree,5602
Mining,Entry,Master's Degree,7787
Retail,Entry,Associate Degree,4291
Technology,Mid,Associate Degree,4700
Energy,Entry,Master's Degree,8658
Government,Mid,Bachelor's Degree,6902
Defense,Mid,Master's Degree,8215
Government,Senior,Associate Degree,3833
Media,Entry,Associate Degree,4631
Legal,Entry,Associate Degree,4656
Logistics,Entry,Associate Degree,5226
Transportation,Entry,Master's Degree,6443
Retail,Mid,High School,3755
Logistics,Entry,PhD,11289
Manufacturing,Mid,Master's Degree,7982
Construction,Entry,Associate Degree,4453
Government,Entry,Associate Degree,4956
Manufacturing,Entry,Associate Degree,4333
Education,Mid,High School,3561
Education,Mid,Master's Degree,8795
Energy,Senior,Associate Degree,4385
Forestry,Mid,PhD,9834
Transportation,Mid,Bachelor's Degree,6984
Agriculture,Entry,Associate Degree,5141
Construction,Mid,Master's Degree,8469
Forestry,Mid,Associate Degree,5663
Education,Senior,Bachelor's Degree,5814
Defense,Mid,Bachelor's Degree,5415
Agriculture,Mid,Master's Degree,7492
Mining,Mid,PhD,9817
Defense,Mid,Associate Degree,5426
Education,Entry,Associate Degree,4574
Construction,Mid,Master's Degree,8275
Transportation,Mid,Bachelor's Degree,5819
Engineering,Senior,Bachelor's Degree,7244
Logistics,Entry,High School,3870
Media,Entry,Master's Degree,9256
Engineering,Senior,Associate Degree,5595
Logistics,Entry,Master's Degree,7708
Education,Mid,Bachelor's Degree,5601
Media,Mid,Bachelor's Degree,6537
Defense,Senior,High School,4052
Energy,Mid,PhD,11057
Government,Entry,Associate Degree,4502
Energy,Mid,Bachelor's Degree,5462
Construction,Mid,High School,4608
Retail,Mid,High School,4462
Engineering,Mid,High School,4696
Engineering,Senior,High School,4695
Education,Senior,High School,4644
Logistics,Entry,Bachelor's Degree,6393
Fishing,Mid,Bachelor's Degree,5360
Fishing,Mid,High School,3938
Forestry,Entry,Master's Degree,9273
Mining,Mid,Bachelor's Degree,5374
Engineering,Entry,Associate Degree,5160
Finance,Mid,Bachelor's Degree,6610
Agriculture,Mid,PhD,9843
Education,Mid,Bachelor's Degree,6837
Mining,Entry,Associate Degree,4434
Real Estate,Senior,Bachelor's Degree,5657
Retail,Entry,Bachelor's Degree,6426
Agriculture,Senior,Bachelor's Degree,6816
Legal,Entry,Bachelor's Degree,7066
Healthcare,Entry,High School,3521
Transportation,Senior,High School,3561
Media,Entry,High School,4252
Real Estate,Senior,Bachelor's Degree,7557
Technology,Entry,Bachelor's Degree,7660
Engineering,Mid,Associate Degree,3812
Manufacturing,Mid,High School,4441
Healthcare,Mid,Bachelor's Degree,6310
Media,Mid,Associate Degree,4132
Agriculture,Entry,High School,4672
Real Estate,Entry,Bachelor's Degree,5619
Forestry,Mid,Master's Degree,9184
Transportation,Mid,High School,4560
Manufacturing,Senior,Bachelor's Degree,5630
Fishing,Senior,High School,3795
Defense,Entry,Master's Degree,7286
Retail,Entry,High School,4151
Mining,Mid,PhD,9142
Legal,Entry,PhD,9149
Healthcare,Entry,High School,3505
Retail,Mid,Associate Degree,4192
Construction,Entry,High School,3279
Healthcare,Mid,Bachelor's Degree,7521
Retail,Mid,Associate Degree,4402
Government,Entry,Master's Degree,8472
Healthcare,Mid,Master's Degree,6887
Technology,Mid,Bachelor's Degree,6215
Real Estate,Senior,Master's Degree,9481
Defense,Mid,High School,3228
Legal,Mid,Bachelor's Degree,5682
Construction,Entry,Master's Degree,7468
Agriculture,Mid,Associate Degree,5323
Retail,Entry,Associate Degree,4645
Legal,Entry,Master's Degree,9146
Forestry,Mid,Bachelor's Degree,6819
Healthcare,Entry,Bachelor's Degree,7674
Finance,Mid,High School,4714
Engineering,Entry,Bachelor's Degree,7178
Healthcare,Entry,Associate Degree,4936
Fishing,Entry,Bachelor's Degree,5411
Real Estate,Mid,High School,3546
Technology,Mid,Bachelor's Degree,6525
Technology,Senior,Associate Degree,3947
Mining,Mid,High School,3734
Forestry,Mid,Bachelor's Degree,6554
Mining,Entry,Master's Degree,7955
Forestry,Senior,Associate Degree,4322
Fishing,Mid,Associate Degree,4303
Agriculture,Mid,Master's Degree,7065
Transportation,Mid,High School,3909
Legal,Entry,High School,3720
Legal,Entry,Master's Degree,9445
Agriculture,Entry,PhD,10693
Manufacturing,Mid,Master's Degree,8931
Energy,Entry,High School,4794
Mining,Mid,High School,4137
Construction,Mid,Associate Degree,4567
Transportation,Mid,Bachelor's Degree,6463
Education,Senior,Associate Degree,5282
Engineering,Entry,Bachelor's Degree,5679
Real Estate,Entry,Bachelor's Degree,6524
Finance,Entry,Bachelor's Degree,6442
Technology,Entry,High School,4221
Real Estate,Senior,Master's Degree,7777
Defense,Senior,High School,3286
Real Estate,Entry,Associate Degree,5340
Fishing,Mid,High School,3809
Technology,Mid,Associate Degree,4280
Media,Mid,Bachelor's Degree,5710
Transportation,Entry,Bachelor's Degree,7657
Finance,Mid,Master's Degree,9043
Transportation,Entry,Bachelor's Degree,6382
Retail,Mid,Master's Degree,7903
Manufacturing,Mid,High School,4409
Agriculture,Mid,Associate Degree,5601
Engineering,Mid,Master's Degree,9441
Construction,Mid,High School,4581
Mining,Mid,Bachelor's Degree,5374
Manufacturing,Mid,Associate Degree,4777
Fishing,Senior,Master's Degree,7455
Education,Mid,Master's Degree,8389
Retail,Mid,PhD,8678
Engineering,Senior,High School,3831
Finance,Senior,High School,4743
Defense,Entry,Master's Degree,8629
Technology,Entry,PhD,11346
Mining,Senior,Bachelor's Degree,6799
Mining,Senior,High School,3630
Logistics,Entry,High School,3861
Engineering,Senior,Bachelor's Degree,6506
Forestry,Mid,Associate Degree,4303
Fishing,Entry,Master's Degree,9356
Transportation,Entry,High School,4766
Legal,Mid,Master's Degree,6491
Defense,Mid,Associate Degree,4196
Retail,Mid,Bachelor's Degree,6248
Forestry,Entry,Master's Degree,7491
Fishing,Entry,Master's Degree,9517
Healthcare,Mid,Associate Degree,4702
Transportation,Entry,Master's Degree,8557
Retail,Senior,Bachelor's Degree,5469
Fishing,Entry,Bachelor's Degree,6006
Mining,Mid,Associate Degree,5611
Manufacturing,Mid,Bachelor's Degree,7602
Technology,Mid,Master's Degree,7138
Education,Mid,Associate Degree,5492
Real Estate,Mid,High School,4001
Finance,Mid,High School,4517
Logistics,Entry,Bachelor's Degree,6730
Construction,Mid,Bachelor's Degree,7801
Transportation,Senior,Bachelor's Degree,6715
Construction,Senior,PhD,9740
Finance,Entry,Associate Degree,4081
Transportation,Senior,Master's Degree,7346
Agriculture,Mid,Bachelor's Degree,6057
Fishing,Entry,Associate Degree,4888
Finance,Senior,High School,4770
Transportation,Entry,Bachelor's Degree,5951
Agriculture,Mid,High School,3722
Government,Entry,Associate Degree,4418
Transportation,Mid,Bachelor's Degree,7131
Fishing,Senior,Bachelor's Degree,7256
Retail,Mid,Master's Degree,7437
Healthcare,Entry,Associate Degree,4869
Education,Mid,Bachelor's Degree,7943
Energy,Mid,Master's Degree,6407
Forestry,Entry,Associate Degree,4858
Agriculture,Entry,Associate Degree,3876
Finance,Mid,Bachelor's Degree,6004
Transportation,Entry,High School,4817
Education,Entry,Associate Degree,4919
Defense,Entry,Associate Degree,4001
Logistics,Mid,Bachelor's Degree,7645
Government,Mid,High School,3304
Finance,Mid,Bachelor's Degree,7152
Finance,Senior,Associate Degree,4259
Forestry,Mid,High School,3939
Technology,Entry,Associate Degree,4799
Construction,Entry,Associate Degree,5663
Mining,Entry,Bachelor's Degree,5826
Transportation,Entry,Master's Degree,8361
Transportation,Entry,Bachelor's Degree,6111
Construction,Entry,Associate Degree,5264
Real Estate,Entry,Master's Degree,6461
Transportation,Mid,High School,4047
Technology,Entry,High School,4644
Logistics,Mid,Associate Degree,4785
Transportation,Entry,Master's Degree,6843
Retail,Mid,PhD,9062
Technology,Senior,Bachelor's Degree,6690
Energy,Senior,Associate Degree,5051
Retail,Senior,Bachelor's Degree,7997
Energy,Entry,Bachelor's Degree,7736
Mining,Senior,Bachelor's Degree,8023
Defense,Senior,High School,3979
Forestry,Mid,Associate Degree,4554
Forestry,Mid,Master's Degree,7749
Fishing,Senior,PhD,11732
Media,Senior,Bachelor's Degree,7576
Agriculture,Mid,Bachelor's Degree,6287
Logistics,Mid,Master's Degree,8005
Agriculture,Mid,Associate Degree,4991
Transportation,Entry,Master's Degree,7980
Construction,Mid,Bachelor's Degree,6847
Legal,Entry,Bachelor's Degree,6740
Education,Entry,Bachelor's Degree,7808
Fishing,Senior,Bachelor's Degree,6937
Legal,Mid,Master's Degree,8005
Education,Senior,High School,4479
Education,Mid,Master's Degree,9244
Government,Senior,Bachelor's Degree,5480
Legal,Entry,Associate Degree,5230
Education,Entry,High School,4200
Education,Mid,Bachelor's Degree,6023
Real Estate,Mid,Associate Degree,4332
Defense,Mid,PhD,10241
Government,Mid,Bachelor's Degree,7330
Education,Senior,Bachelor's Degree,6246
Agriculture,Mid,Associate Degree,4743
Manufacturing,Senior,PhD,9504
Forestry,Mid,Associate Degree,5668
Defense,Mid,Master's Degree,8997
Transportation,Mid,Bachelor's Degree,6762
Government,Mid,Master's Degree,9221
Engineering,Mid,Associate Degree,5071
Fishing,Mid,Associate Degree,5509
Mining,Entry,Associate Degree,4479
Engineering,Senior,Associate Degree,4339
Agriculture,Entry,Bachelor's Degree,7841
Media,Mid,Associate Degree,5378
Engineering,Entry,Associate Degree,5502
Legal,Senior,Bachelor's Degree,7298
Education,Entry,High School,4143
Healthcare,Senior,Bachelor's Degree,7704
Technology,Entry,High School,4193
Finance,Senior,PhD,9650
Education,Mid,Bachelor's Degree,7579
Manufacturing,Entry,Associate Degree,5514
Agriculture,Entry,High School,4471
Engineering,Entry,Associate Degree,4322
Defense,Entry,High School,4118
Finance,Mid,Master's Degree,7995
Transportation,Entry,High School,4390
Fishing,Mid,Associate Degree,4865
Transportation,Senior,High School,3662
Agriculture,Mid,Master's Degree,7163
Real Estate,Senior,Bachelor's Degree,5675
Finance,Mid,PhD,7931
Energy,Entry,High School,3679
Education,Senior,Bachelor's Degree,7833
Technology,Mid,Associate Degree,4024
Education,Mid,Associate Degree,4713
Technology,Mid,PhD,8026
Forestry,Mid,Master's Degree,8830
Energy,Entry,Bachelor's Degree,7345
Technology,Mid,Bachelor's Degree,6453
Transportation,Entry,Bachelor's Degree,6770
Finance,Entry,PhD,10965
Real Estate,Entry,High School,4391
Logistics,Entry,Associate Degree,5188
Finance,Entry,Associate Degree,4506
Agriculture,Senior,Bachelor's Degree,6745
Transportation,Senior,Associate Degree,3905
Agriculture,Entry,Master's Degree,9545
Legal,Entry,Master's Degree,6907
Mining,Senior,Bachelor's Degree,7846
Transportation,Senior,High School,3960
Engineering,Entry,High School,4360
Defense,Mid,Associate Degree,5275
Defense,Mid,Master's Degree,9372
Transportation,Mid,Associate Degree,5646
Retail,Mid,PhD,8088
Forestry,Entry,PhD,8004
Real Estate,Senior,Associate Degree,4920
Retail,Senior,Master's Degree,8055
Media,Mid,Master's Degree,6517
Transportation,Entry,Bachelor's Degree,5656
Transportation,Entry,Master's Degree,6933
Transportation,Entry,Master's Degree,9112
Legal,Senior,High School,4521
Government,Senior,Associate Degree,4068
Media,Senior,Associate Degree,5606
Healthcare,Entry,Associate Degree,3873
Construction,Entry,High School,4355
Transportation,Entry,High School,3390
Government,Entry,Associate Degree,5659
Media,Entry,Master's Degree,8361
Logistics,Mid,Associate Degree,4439
Technology,Senior,High School,3741
Legal,Entry,High School,4448
Retail,Mid,Associate Degree,4501
Legal,Entry,Associate Degree,5429
Transportation,Senior,Associate Degree,5193
Agriculture,Senior,Master's Degree,8867
Energy,Senior,Associate Degree,5340
Energy,Entry,Associate Degree,4269
Legal,Mid,High School,3355
Healthcare,Mid,Bachelor's Degree,7618
Retail,Entry,Bachelor's Degree,6214
Legal,Mid,High School,4471
Engineering,Mid,High School,3312
Forestry,Entry,Bachelor's Degree,6544
Forestry,Entry,Associate Degree,3947
Legal,Entry,Master's Degree,6510
Defense,Mid,Master's Degree,8968
Retail,Senior,Bachelor's Degree,6949
Engineering,Senior,High School,4097
Energy,Mid,Associate Degree,4884
Healthcare,Mid,PhD,8074
Manufacturing,Entry,Associate Degree,4292
Forestry,Mid,High School,3544
Logistics,Entry,Bachelor's Degree,6640
Engineering,Mid,Master's Degree,9027
Education,Entry,Bachelor's Degree,7408
Retail,Mid,Master's Degree,8144
Real Estate,Senior,High School,4362
Transportation,Mid,Associate Degree,4243
Manufacturing,Senior,Master's Degree,7275
Transportation,Mid,Bachelor's Degree,5897
Transportation,Senior,Bachelor's Degree,7745
Government,Mid,PhD,10612
Mining,Senior,High School,4044
Construction,Mid,Bachelor's Degree,7658
Energy,Entry,Master's Degree,8315
Logistics,Senior,Master's Degree,8365
Education,Mid,Bachelor's Degree,6835
Construction,Mid,Associate Degree,5161
Transportation,Mid,Bachelor's Degree,6270
Media,Entry,Associate Degree,4682
Construction,Senior,Associate Degree,4488
Government,Senior,High School,3532
Fishing,Mid,Bachelor's Degree,5425
Finance,Mid,High School,4352
Technology,Entry,PhD,9275
Media,Entry,High School,3857
Manufacturing,Senior,High School,3443
Healthcare,Mid,Master's Degree,9166
Real Estate,Mid,High School,3836
Media,Entry,Bachelor's Degree,6101
Media,Mid,High School,3992
Real Estate,Entry,Associate Degree,5385
Media,Mid,Master's Degree,8676
Manufacturing,Senior,Associate Degree,4005
Media,Mid,Associate Degree,5469
Transportation,Mid,Bachelor's Degree,6945
Government,Entry,High School,4533
Manufacturing,Mid,High School,3850
Healthcare,Entry,Master's Degree,7889
Fishing,Senior,High School,3422
Healthcare,Senior,Bachelor's Degree,7472
Real Estate,Mid,Master's Degree,8954
Engineering,Mid,High School,4496
Defense,Mid,Bachelor's Degree,6415
Healthcare,Mid,Associate Degree,5305
Engineering,Mid,High School,4354
Media,Entry,Associate Degree,5458
Engineering,Senior,Master's Degree,7890
Healthcare,Mid,Associate Degree,3854
Agriculture,Mid,Bachelor's Degree,7222
Energy,Mid,Associate Degree,4613
Agriculture,Entry,Master's Degree,8743
Construction,Entry,Associate Degree,4543
Government,Entry,High School,3731
Manufacturing,Mid,Bachelor's Degree,7996
Forestry,Senior,Master's Degree,9242
Forestry,Senior,Master's Degree,7966
Manufacturing,Mid,Bachelor's Degree,7901
Government,Entry,Associate Degree,5347
Retail,Entry,Associate Degree,4977
Healthcare,Mid,High School,3411
Healthcare,Mid,High School,3762
Engineering,Mid,Associate Degree,4413
Transportation,Entry,High School,3612
Forestry,Mid,PhD,11301
Media,Senior,Bachelor's Degree,7081
Government,Senior,Bachelor's Degree,6644
Fishing,Mid,Associate Degree,4181
Engineering,Senior,Bachelor's Degree,5786
Finance,Mid,Associate Degree,4724
Healthcare,Mid,Associate Degree,4468
Construction,Senior,High School,3337
Healthcare,Entry,High School,4677
Logistics,Mid,Bachelor's Degree,5930
Finance,Entry,Master's Degree,8512
Energy,Mid,Bachelor's Degree,7114
Technology,Entry,Associate Degree,4060
Forestry,Mid,PhD,9852
Legal,Mid,Bachelor's Degree,5505
Fishing,Mid,Bachelor's Degree,5379
Education,Mid,PhD,10950
Logistics,Entry,Master's Degree,6675
Forestry,Mid,Bachelor's Degree,6680
Healthcare,Mid,Bachelor's Degree,6888
Agriculture,Senior,Associate Degree,3958
Defense,Mid,Bachelor's Degree,6295
Finance,Senior,High School,4535
Defense,Senior,Associate Degree,4060
Legal,Entry,High School,3996
Fishing,Senior,Associate Degree,4552
Defense,Entry,Bachelor's Degree,6518
Education,Senior,Bachelor's Degree,5374
Manufacturing,Entry,PhD,10535
Retail,Entry,High School,4122
Finance,Mid,High School,4095
Legal,Mid,High School,4821
Real Estate,Mid,High School,3351
Real Estate,Entry,Bachelor's Degree,7179
Finance,Mid,PhD,10086
Engineering,Mid,Bachelor's Degree,6496
Forestry,Entry,PhD,8701
Manufacturing,Mid,Bachelor's Degree,6157
Logistics,Mid,Associate Degree,4225
Forestry,Entry,Bachelor's Degree,6849
Construction,Senior,Associate Degree,4373
Real Estate,Senior,Associate Degree,5595
Education,Entry,Master's Degree,8749
Agriculture,Mid,Bachelor's Degree,7639
Retail,Senior,Bachelor's Degree,7116
Fishing,Mid,High School,3925
Retail,Mid,Bachelor's Degree,5965
Education,Entry,Master's Degree,8386
Government,Mid,Associate Degree,5683
Energy,Entry,Bachelor's Degree,7026
Healthcare,Entry,Master's Degree,8807
Defense,Mid,Bachelor's Degree,7317
Education,Mid,Associate Degree,4275
Defense,Mid,Master's Degree,7502
Construction,Senior,High School,4079
Finance,Entry,Bachelor's Degree,6386
Agriculture,Mid,High School,3715
Media,Entry,Bachelor's Degree,7318
Government,Entry,High School,3993
Education,Senior,Associate Degree,4225
Finance,Mid,Associate Degree,5599
Construction,Mid,Bachelor's Degree,8008
Legal,Mid,Bachelor's Degree,6432
Transportation,Mid,High School,4775
Mining,Mid,Associate Degree,5706
Engineering,Mid,High School,4429
Media,Entry,High School,3597
Construction,Entry,Master's Degree,6408
Energy,Entry,Bachelor's Degree,6947
Defense,Senior,Associate Degree,5153
Government,Entry,High School,3793
Government,Entry,Master's Degree,8107
Engineering,Entry,Bachelor's Degree,7150
Government,Entry,High School,4553
Manufacturing,Mid,Master's Degree,6962
Media,Senior,High School,3670
Legal,Mid,Bachelor's Degree,7717
Retail,Entry,Bachelor's Degree,7666
Forestry,Entry,Bachelor's Degree,7958
Healthcare,Entry,Master's Degree,7711
Engineering,Mid,Bachelor's Degree,6832
Legal,Entry,Associate Degree,4198
Healthcare,Mid,Master's Degree,7977
Retail,Entry,High School,4281
Transportation,Entry,Bachelor's Degree,7077
Mining,Entry,Master's Degree,9049
Media,Entry,Bachelor's Degree,6573
Engineering,Senior,High School,4529
Healthcare,Mid,Bachelor's Degree,5782
Engineering,Mid,Associate Degree,4201
Healthcare,Senior,Associate Degree,5222
Fishing,Entry,Master's Degree,6902
Retail,Entry,Associate Degree,3859
Finance,Entry,High School,4012
Forestry,Mid,High School,4751
Construction,Entry,Associate Degree,4201
Retail,Mid,High School,3638
Transportation,Entry,Master's Degree,8364
Forestry,Mid,High School,4831
Transportation,Senior,Master's Degree,8588
Education,Entry,Master's Degree,7401
Mining,Entry,High School,3255
Mining,Entry,Bachelor's Degree,7057
Logistics,Entry,Master's Degree,9109
Forestry,Entry,Associate Degree,4348
Technology,Mid,High School,3961
Legal,Senior,High School,3479
Construction,Mid,Master's Degree,7786
Energy,Senior,Bachelor's Degree,6496
Defense,Senior,Master's Degree,9484
Defense,Mid,Associate Degree,4633
Transportation,Entry,Associate Degree,3923
Agriculture,Mid,Master's Degree,9566
Government,Senior,High School,4060
Education,Entry,Associate Degree,5212
Mining,Entry,Bachelor's Degree,7785
Transportation,Entry,Master's Degree,8727
Forestry,Mid,Bachelor's Degree,5547
Legal,Senior,Associate Degree,4029
Energy,Senior,Bachelor's Degree,7529
Construction,Entry,Bachelor's Degree,5497
Agriculture,Entry,Bachelor's Degree,6658
Real Estate,Senior,High School,4487
Fishing,Mid,Master's Degree,8020
Technology,Mid,High School,4706
Forestry,Mid,Master's Degree,9520
Logistics,Mid,Associate Degree,5039
Construction,Mid,Bachelor's Degree,5813
Media,Senior,Master's Degree,7727
Defense,Mid,Master's Degree,8674
Mining,Entry,Master's Degree,7384
Defense,Mid,High School,4053
Real Estate,Mid,Associate Degree,5580
Fishing,Mid,Associate Degree,5495
Legal,Entry,High School,4252
Mining,Entry,Associate Degree,4383
Government,Mid,High School,3624
Education,Mid,Associate Degree,4936
Mining,Mid,High School,3459
Transportation,Mid,Bachelor's Degree,6366
Technology,Mid,Bachelor's Degree,7058
Real Estate,Entry,Associate Degree,4523
Engineering,Mid,Master's Degree,8315
Logistics,Senior,Master's Degree,6596
Healthcare,Mid,Associate Degree,4484
Construction,Mid,High School,4412
Manufacturing,Mid,PhD,8291
Agriculture,Mid,High School,3620
Finance,Mid,Associate Degree,4937
Retail,Mid,Master's Degree,7492
Energy,Mid,Associate Degree,4721
Forestry,Entry,Bachelor's Degree,5597
Finance,Entry,Associate Degree,4656
Legal,Mid,Associate Degree,5269
Legal,Senior,High School,4696
Manufacturing,Entry,Associate Degree,5356
Transportation,Entry,Associate Degree,5391
Transportation,Mid,High School,3416
Education,Mid,PhD,11024
Healthcare,Entry,Bachelor's Degree,6753
Forestry,Entry,High School,4242
Finance,Entry,PhD,8323
Mining,Senior,Bachelor's Degree,6059
Agriculture,Entry,Associate Degree,5048
Construction,Entry,Master's Degree,9139
Manufacturing,Mid,High School,4568
Engineering,Entry,Associate Degree,4404
Energy,Senior,Associate Degree,4684
Manufacturing,Entry,Bachelor's Degree,7734
Fishing,Entry,PhD,10397
Manufacturing,Mid,Master's Degree,7172
Construction,Mid,PhD,10531
Government,Entry,PhD,8054
Transportation,Entry,High School,3342
Healthcare,Senior,Associate Degree,5543
Fishing,Entry,Associate Degree,5700
Agriculture,Mid,Bachelor's Degree,5619
Agriculture,Senior,Associate Degree,4468
Fishing,Entry,High School,3719
Logistics,Mid,Bachelor's Degree,7572
Mining,Mid,Associate Degree,5648
Defense,Senior,Associate Degree,4139
Healthcare,Senior,Associate Degree,4557
Mining,Mid,PhD,10796
Energy,Mid,Master's Degree,7071
Government,Mid,High School,4290
Defense,Mid,Master's Degree,8747
Manufacturing,Mid,Master's Degree,8034
Fishing,Entry,Bachelor's Degree,7325
Logistics,Mid,Bachelor's Degree,6734
Education,Entry,Associate Degree,4531
Energy,Entry,Bachelor's Degree,6848
Healthcare,Senior,Bachelor's Degree,7833
Government,Entry,Master's Degree,8752
Healthcare,Entry,Bachelor's Degree,5676
Logistics,Mid,Bachelor's Degree,5933
Construction,Senior,High School,4703
Forestry,Entry,Master's Degree,7565
Defense,Entry,Bachelor's Degree,6277
Transportation,Senior,Bachelor's Degree,6194
Defense,Entry,High School,4471
Government,Senior,PhD,11591
Real Estate,Senior,High School,3561
Fishing,Mid,High School,4033
Technology,Senior,Associate Degree,4870
Finance,Entry,Bachelor's Degree,7257
Fishing,Mid,Master's Degree,7579
Healthcare,Mid,High School,3427
Engineering,Entry,High School,3904
Construction,Senior,PhD,11365
Construction,Entry,PhD,9292
Fishing,Entry,Bachelor's Degree,6231
Agriculture,Senior,Master's Degree,6693
Retail,Senior,High School,3299
Finance,Entry,Associate Degree,5021
Construction,Senior,Associate Degree,5569
Defense,Mid,High School,4454
Education,Mid,High School,4636
Agriculture,Mid,High School,4138
Agriculture,Mid,Bachelor's Degree,7690
Energy,Senior,PhD,9814
Retail,Mid,Bachelor's Degree,5815
Forestry,Mid,High School,3960
Finance,Senior,Associate Degree,4534
Transportation,Mid,Bachelor's Degree,5412
Healthcare,Mid,PhD,10155
Government,Senior,Bachelor's Degree,5561
Media,Entry,Master's Degree,8424
Retail,Mid,High School,3418
Defense,Senior,Master's Degree,6700
Real Estate,Entry,Associate Degree,4140
Finance,Senior,High School,3666
Engineering,Mid,High School,4832
Real Estate,Senior,Master's Degree,8230
Fishing,Entry,Master's Degree,7202
Retail,Senior,Bachelor's Degree,6748
Finance,Entry,PhD,8520
Finance,Entry,PhD,9552
Real Estate,Mid,Bachelor's Degree,7843
Engineering,Entry,Master's Degree,7393
Defense,Entry,Associate Degree,5167
Mining,Senior,High School,3291
Education,Mid,Bachelor's Degree,7072
Forestry,Entry,Bachelor's Degree,6278
Healthcare,Senior,Bachelor's Degree,7266
Defense,Entry,Associate Degree,5545
Technology,Entry,High School,4308
Technology,Mid,Associate Degree,4982
Forestry,Mid,Associate Degree,5235
Energy,Senior,Associate Degree,4844
Logistics,Mid,Master's Degree,8128
Engineering,Entry,Master's Degree,7526
Logistics,Senior,High School,3951
Media,Mid,High School,3850
Mining,Entry,Bachelor's Degree,6645
Construction,Entry,Master's Degree,7113
Agriculture,Entry,Bachelor's Degree,7162
Fishing,Mid,Bachelor's Degree,7627
Logistics,Entry,Bachelor's Degree,7460
Real Estate,Entry,High School,3787
Defense,Mid,Bachelor's Degree,8001
Real Estate,Entry,Bachelor's Degree,6601
Manufacturing,Entry,Bachelor's Degree,6038
Defense,Entry,Associate Degree,5590
Engineering,Mid,PhD,9723
Finance,Mid,Bachelor's Degree,7636
Healthcare,Entry,Associate Degree,4472
Engineering,Entry,Bachelor's Degree,7126
Engineering,Mid,Bachelor's Degree,7606
Retail,Senior,Bachelor's Degree,7021
Manufacturing,Entry,PhD,9978
Government,Senior,Bachelor's Degree,5476
Logistics,Mid,Master's Degree,7561
Real Estate,Entry,PhD,10698
Engineering,Entry,Bachelor's Degree,7524
Media,Entry,High School,3311
Transportation,Entry,High School,4744
Logistics,Senior,Bachelor's Degree,7804
Media,Entry,Bachelor's Degree,5767
Forestry,Entry,Associate Degree,5196
Technology,Mid,Master's Degree,6698
Transportation,Mid,Bachelor's Degree,6515
Technology,Senior,Master's Degree,6664
Education,Mid,Master's Degree,8476
Finance,Entry,High School,4550
Education,Mid,High School,3688
Defense,Senior,Associate Degree,4917
Government,Mid,Associate Degree,5501
Education,Entry,High School,3335
Mining,Senior,Associate Degree,4803
Retail,Entry,Master's Degree,9334
Real Estate,Mid,Master's Degree,7293
